Registro,Run,Tarea,Beta_C3,Beta_C4,Beta_Cz,Mu_C3,Mu_C4,Mu_Cz,Condicion
sub_1,11,Movimiento Real Mano,1.385610489439538e-11,1.0583122606997743e-11,1.4508915542207968e-11,4.5071635273471707e-11,3.074045272323505e-11,4.4820094841011237e-11,Mano Derecha
sub_1,12,Imaginería Motora Mano,1.0670149504120861e-11,8.534696787274812e-12,1.0433095511700901e-11,3.412171518013236e-11,2.472043265780417e-11,3.2306757062844683e-11,Mano Derecha
sub_1,3,Movimiento Real Mano,1.2105151530939298e-11,1.0078559612528997e-11,1.2167749152898415e-11,3.228685821254138e-11,2.58673728774408e-11,3.28718720473607e-11,Mano Derecha
sub_1,4,Imaginería Motora Mano,1.3253972380438436e-11,9.237266628945787e-12,1.1558757676047123e-11,3.041603416269601e-11,2.489152557790603e-11,3.184991358097947e-11,Mano Derecha
sub_1,7,Movimiento Real Mano,1.1835992656514046e-11,9.168017197976379e-12,1.2208218150197397e-11,3.064324469046669e-11,2.5713207499794353e-11,3.284207620565493e-11,Mano Derecha
sub_1,8,Imaginería Motora Mano,1.2314443314677598e-11,8.86527318423885e-12,1.1867902051307786e-11,3.304316199407932e-11,2.4737894105488378e-11,3.214692619743155e-11,Mano Derecha
sub_10,11,Movimiento Real Mano,1.2151036184312622e-11,9.927943259165778e-12,1.2255209030889485e-11,4.117937535491974e-11,4.247258819970522e-11,5.306606392584106e-11,Mano Derecha
sub_10,12,Imaginería Motora Mano,1.0476876972870097e-11,8.17229169058256e-12,1.0721932859543792e-11,3.477538272427311e-11,3.077948009699126e-11,4.0697537042818725e-11,Mano Derecha
sub_10,3,Movimiento Real Mano,1.131089457900506e-11,8.974828839028158e-12,1.0041794802445339e-11,3.1193164043923784e-11,3.214903677326241e-11,3.545525288265962e-11,Mano Derecha
sub_10,4,Imaginería Motora Mano,1.1151398338448627e-11,9.30057642232054e-12,1.0293970578564284e-11,3.127842021833251e-11,3.1319578687117296e-11,3.396314580482339e-11,Mano Derecha
sub_10,7,Movimiento Real Mano,1.4142040433480298e-11,1.1334927231594854e-11,1.228887857428466e-11,5.943490665836808e-11,6.190284572419996e-11,7.16131315685627e-11,Mano Derecha
sub_10,8,Imaginería Motora Mano,1.0826729008192305e-11,8.72057644323267e-12,1.0783165548522095e-11,3.9627443678545013e-11,3.917163666348234e-11,4.6842761813593803e-11,Mano Derecha
sub_11,11,Movimiento Real Mano,3.1089598955248504e-12,2.658126220890912e-12,3.096663010972964e-12,4.216001510931043e-12,4.486379680585022e-12,5.723899701794619e-12,Mano Derecha
sub_11,12,Imaginería Motora Mano,2.3481671691837365e-12,2.0063208958494702e-12,2.3874499785832166e-12,4.241257617948634e-12,4.1894957489570055e-12,5.248008096910745e-12,Mano Derecha
sub_11,3,Movimiento Real Mano,1.334825614377305e-12,1.1516386050425873e-12,1.4657307267421107e-12,3.706963688869483e-12,3.224940978924258e-12,4.372454007050675e-12,Mano Derecha
sub_11,4,Imaginería Motora Mano,1.3746127436834482e-12,1.1811192636697563e-12,1.5131286113949998e-12,3.8778242541248595e-12,3.605642467150767e-12,5.126786180767992e-12,Mano Derecha
sub_11,7,Movimiento Real Mano,2.1392493455072212e-12,1.7221565585442293e-12,2.1736234802218944e-12,4.312062381562079e-12,4.101386003888024e-12,5.3667749131731834e-12,Mano Derecha
sub_11,8,Imaginería Motora Mano,1.6232855266752923e-12,1.3668652415712389e-12,1.732734866964375e-12,4.129606619008939e-12,3.8663910356179515e-12,5.1458567507990466e-12,Mano Derecha
sub_12,11,Movimiento Real Mano,2.7946805732063884e-12,2.4204741718628376e-12,2.4884844828765653e-12,9.322367005709334e-12,8.772524324236218e-12,1.024357167016359e-11,Mano Derecha
sub_12,12,Imaginería Motora Mano,2.8074093227287596e-12,2.2808187949872185e-12,2.466473525766423e-12,9.80668909087315e-12,9.870906811425712e-12,1.1200817036919091e-11,Mano Derecha
sub_12,3,Movimiento Real Mano,2.6006304341046532e-12,1.8642574649540116e-12,2.0912540564888675e-12,6.810249055006459e-12,6.070591869086415e-12,7.580647386407003e-12,Mano Derecha
sub_12,4,Imaginería Motora Mano,2.3091060403561797e-12,1.8645361784367915e-12,1.940656720829703e-12,6.666571054244541e-12,5.9922228214573015e-12,7.234687955456507e-12,Mano Derecha
sub_12,7,Movimiento Real Mano,2.970283779248859e-12,2.0490580116751873e-12,2.3868083063251127e-12,7.58643070275299e-12,7.577786910542829e-12,9.467593761738549e-12,Mano Derecha
sub_12,8,Imaginería Motora Mano,2.7618342286206497e-12,1.8758562499549937e-12,2.102591696940532e-12,7.188263350832659e-12,6.958478954520876e-12,7.97083882875715e-12,Mano Derecha
sub_13,11,Movimiento Real Mano,3.5157925071087923e-11,2.4568740354425523e-11,2.5550991322615734e-11,6.457928347719882e-11,4.9517009627409457e-11,7.43547814105203e-11,Mano Derecha
sub_13,12,Imaginería Motora Mano,3.2676545289824654e-11,2.800740355623521e-11,2.930492259061366e-11,9.191011293045982e-11,5.6901629955343584e-11,1.0299002556878017e-10,Mano Derecha
sub_13,3,Movimiento Real Mano,2.5115542316051658e-11,1.2190390866871168e-11,1.6957468531222525e-11,3.7379523395283456e-11,2.3772637214600316e-11,3.6117111177132767e-11,Mano Derecha
sub_13,4,Imaginería Motora Mano,1.8865994698950056e-11,1.2420991693030905e-11,1.8501285495417758e-11,3.6665664074266846e-11,2.356973647417145e-11,3.848338192459064e-11,Mano Derecha
sub_13,7,Movimiento Real Mano,2.1460754507657585e-11,1.5097804098379024e-11,1.8906694871566856e-11,4.555933458038007e-11,3.016465041949997e-11,4.5084417660265993e-11,Mano Derecha
sub_13,8,Imaginería Motora Mano,2.6327085662162868e-11,1.896326113175609e-11,2.1206010088738163e-11,5.1151623086151215e-11,3.5962722542520924e-11,5.535970789772342e-11,Mano Derecha
sub_14,11,Movimiento Real Mano,5.7164569636572074e-12,4.593686066924292e-12,4.907902587787936e-12,4.18269580976462e-11,2.990652804836391e-11,4.098902653937109e-11,Mano Derecha
sub_14,12,Imaginería Motora Mano,5.439219020149421e-12,4.591338084963462e-12,5.07878429952157e-12,5.604373954927426e-11,4.227866707851783e-11,5.750337521090361e-11,Mano Derecha
sub_14,3,Movimiento Real Mano,5.099122710032384e-12,4.208338056185371e-12,4.402174229846694e-12,2.129327756873887e-11,1.7297647382646184e-11,2.0825992261570824e-11,Mano Derecha
sub_14,4,Imaginería Motora Mano,5.531558451706929e-12,4.294981684438848e-12,4.648512498543021e-12,3.363325444208408e-11,2.5541092667374627e-11,3.422039332792439e-11,Mano Derecha
sub_14,7,Movimiento Real Mano,5.7591235628691155e-12,4.403627488160331e-12,5.072982992838661e-12,3.665860057319831e-11,2.7066448404189907e-11,3.877320983633818e-11,Mano Derecha
sub_14,8,Imaginería Motora Mano,6.011315529443286e-12,4.490259716328489e-12,5.216993568536268e-12,5.333031096073461e-11,3.885984944646003e-11,5.584634075832766e-11,Mano Derecha
sub_15,11,Movimiento Real Mano,3.941332699102505e-11,2.873095993158486e-11,3.53819057242472e-11,6.832263701306248e-11,7.212818464108321e-11,7.552080212164006e-11,Mano Derecha
sub_15,12,Imaginería Motora Mano,2.6093236989469805e-11,1.9143334766329575e-11,2.5302510683620435e-11,4.5680836149674734e-11,3.908791427555229e-11,5.0040393111919337e-11,Mano Derecha
sub_15,3,Movimiento Real Mano,3.466193759845783e-11,2.5843895326461092e-11,2.903768836966252e-11,5.2530893697294105e-11,3.798134202417229e-11,5.11780288249078e-11,Mano Derecha
sub_15,4,Imaginería Motora Mano,3.3374274319922056e-11,2.4618094801671445e-11,2.7738974638534757e-11,5.404463821362094e-11,4.4719299768794345e-11,5.3688410064117694e-11,Mano Derecha
sub_15,7,Movimiento Real Mano,2.8434558410534594e-11,2.1701110558334342e-11,2.6084677842120904e-11,4.7392042810259405e-11,3.919649058665728e-11,4.844356050841678e-11,Mano Derecha
sub_15,8,Imaginería Motora Mano,3.165865546984788e-11,2.3037518652324306e-11,2.798300974304959e-11,7.013419496466329e-11,5.0405314627323075e-11,6.804581258801354e-11,Mano Derecha
sub_16,11,Movimiento Real Mano,3.960692919883729e-12,3.1497751241761e-12,3.650083234247348e-12,1.4281413628603662e-11,1.1962249547669008e-11,1.482877426048756e-11,Mano Derecha
sub_16,12,Imaginería Motora Mano,4.221985665814303e-12,4.2566470568067626e-12,4.580349050777122e-12,1.6408275900045742e-11,1.5244867881444946e-11,1.8990587039082045e-11,Mano Derecha
sub_16,3,Movimiento Real Mano,3.335667325631032e-12,2.930511101754344e-12,3.2708863076394006e-12,1.1284950797651029e-11,9.177735228743656e-12,1.177442748203016e-11,Mano Derecha
sub_16,4,Imaginería Motora Mano,4.253126857013919e-12,3.692306591516101e-12,4.0132574703499274e-12,1.59241650059533e-11,1.3830302881827124e-11,1.6908618024122454e-11,Mano Derecha
